post_title,post_content,post_status,post_type,post_thumbnail,field_55c7c29fbe1c4,field_555cf6c5d6bee,field_555cf6f2d6bef,field_555cf720d6bf0,field_555cf76fbd4c3,field_555cf7dbbd4c4,field_555cf80fbd4c5,field_555cf829bd4c6,field_555cf84581799,field_555cf8fb6923d,,field_555cf87d12feb,field_555cf89f12fec
Blackwater Gold mine,"The Blackwater Gold project is on the northern flanks of Mt. Davidson in the Nechako Plateau approximately 160 kilometres southwest of the city of Prince George and 110 km southwest of the town of Vanderhoof, in central British Columbia.",Published,proposed-project,,,,,,,,,,,53.15829995240297|-124.8348999023438,Mine,"Blackwater project site | http://www.newgold.com/properties/projects/blackwater/blackwater-project/default.aspx,",
Abacus Gold AJAX mine,The mine plan is based on the extraction of 503 Mt of ore for processing during 23 years of operation.,Published,proposed-project,,,,,,,,,,,50.66086052591329|-120.5031967163086,Mine,"Project site | http://www.amemining.com/s/Afton-Ajax.asp,",
Taseko Prosperity gold-copper mine,"<p>Taseko Mines Limited, a British Columbia based mining company that owns and operates theGibraltar Mine near Williams Lake, British Columbia proposes to develop a NewProsperity Gold-Copper Project 125 kilometres to the southwest of Williams Lake. </p><p>Fish Lake (Teztan Biny in the TsilhqotÃ¢â‚¬â„¢in language) is a mountain lake, located on the Chilcotin Plateau, 125 kilometers west of Williams Lake British Columbia, Canada. Fish Lake and the Chilcotin Plateau are within TsilhqotÃ¢â‚¬â„¢in First Nation territory.</p><iframe width=""420"" height=""315"" src=""https://www.youtube.com/embed/jqEpybJ0uaw""></iframe>",Published,proposed-project,,,,,,,,,,,51.4454485457842|-123.6442565917969,Mine,"Wilderness Committee | https://www.wildernesscommittee.org/what_we_do/save_fish_lake,Taseko Mines | http://www.tasekomines.com/new-prosperity/ID540315,",
Fortune Minerals Arctos coal mine,"<p>Although it has embraced several developments recently, the Tahltan First Nation in northern British Columbia is determined to halt a massive coal mine proposed in an area known as the Sacred Headwaters.</p><p>See below for Arctoc company information.</p>",Published,proposed-project,,,,,,,,,,,56.84296364840129|-128.0154418945312,Mine,"Fortune Minerals | http://www.fortuneminerals.com/assets/arctos/default.aspx,Tahltan Central Council | http://www.tahltan.org/news/tahltan-nation-opposes-fast-tracking-coal-mine-sacred-headwaters,",
Goldboro LNG,"<p>Goldboro LNG will include a natural gas liquefaction plant and facilities for the storage and export of LNG, including a marine jetty for loading. The facility is anticipated to produce approximately ten million metric tonnes of LNG per year and have on-site storage capacity of 690,000 cubic metres of LNG.</p>",Published,proposed-project,,,,,,,,,,,45.16812052061452|-61.67037963867188,LNG,"Goldboro website | http://goldborolng.com/project/project-overview/,",
Muskrat Falls Dam,"<p>Nalcor Energy leads the development of the Muskrat Falls Project, which includes construction of an 824-MW hydroelectric generating facility at Muskrat Falls on the lower Churchill River in Labrador and more than 1,500 km of associated transmission lines and infrastructure that will deliver electricity to Newfoundland and Labrador.</p>",Published,proposed-project,,,,,,,,,,,53.24831993622323|-60.77774047851562,Dam,"Top 100 Infrastructure | http://top100projects.ca/project-details/?id=107&yr=2015,",
Romaine Complex Dam,"<p>This 1,550-MW hydroelectric complex on the Romaine River is still on track for completion in 2020. It involves four generating stations and reservoirs spaced over 150 km along the North Shore of the Gulf of St. Lawrence. Each station will have an associated rockfill dam, two or three generating units, and a spillway.</p>",Published,proposed-project,,,,,,,,,,,50.31302344524803|-63.49273681640625,Dam,"Top 100 Infrastructure | http://top100projects.ca/project-details/?id=3&yr=2015,",
Keeyask Hydroelectric Dam,"<p>This 695-MW hydroelectric generating station will be a source of renewable energy, producing an average of 4,400 gigawatt-hours of electricity each year. Energy produced will be integrated into Manitoba HydroÃ¢â‚¬â„¢s electric system for use in Manitoba and for export. Keeyask will be ManitobaÃ¢â‚¬â„¢s fourth-largest generating station. The design for the project agreement is based on a partnership model between Manitoba Hydro and the four Keeyask Cree Nations, including the Tataskweyak Cree Nation, War Lake First Nation, Fox Lake Cree Nation, and York Factory First Nation.</p>",Published,proposed-project,,,,,,,,,,,56.2959670914376|-95.77949523925781,Dam,"Top 100 Infrastructure | http://top100projects.ca/project-details/?id=102&yr=2015,",
Lower Mattagami Hydroelectric,"<p>Smoky Falls was originally constructed in 1931, while the others were built in the 1960s. In order to accommodate the additional energy that will be supplied because of this project, Hydro One is adding an additional 230-kV circuit to the transmission line that runs from the Harmon Junction to the Kipling Generating Station, running approximately 4 km.</p>",Published,proposed-project,,,,,,,,,,,49.9874351037416|-82.144775390625,Dam,"Top 100 Infrastructure | http://top100projects.ca/project-details/?id=10&yr=2015,",
Great Spirit Power,"<p>Not strictly LNG, but Natural Gas. This proposed 930-MW power project is to be a combined cycle natural-gas fired power plant. The facility will be located on Paul First Nation Industrial Park, and ownership will be shared with that Nation. The Paul First Nation has agreed to develop the project along with Focus Equities Inc. which will replace nearby aging coal plants.</p>",Published,proposed-project,,,,,,,,,,,53.53418628920915|-114.6038818359375,LNG,"Top 100 Infrastructure | http://top100projects.ca/project-details/?id=182&yr=2015,",
K2 Wind,"<p>This 270-MW renewable energy facility has a 20-year power purchase agreement from the Ontario Power Authority under the Green Energy Infrastructure Agreement. Once operational, it will generate clean power for approximately 100,000 Ontario homes annually and is located on privately owned lands in the Township of Ashfield-Colborne-Wawanosh, Ontario.</p>",Published,proposed-project,,,,,,,,,,,43.78138147017093|-81.6423225402832,Wind,"Top 100 infrastructure | http://top100projects.ca/project-details/?id=34&yr=2015,",
Riviere du Moulin Wind,"<p>This 350-MW wind farm consisting of 175 turbines is expected to be the largest in Canada once completed. Located on remote unincorporated land northeast of Quebec City, its proponents plan to use existing logging roads to access the turbine construction sites. Hydro Quebec has agreed to buy the power produced by the farm, and will be building a 345-kV transmission line to link it to the power grid.</p>",Published,proposed-project,,,,,,,,,,,47.45780853075031|-70.46905517578125,Wind,"Top 100 Infrastructure | http://top100projects.ca/project-details/?id=130&yr=2015,",
Upper Lillooet Hydro Project,"<p>This hydro project includes two run-of-river generation facilities located in the Pemberton Valley: the 81.4 MW Upper Lillooet River Hydroelectric Facility and the 25.3 MW Boulder (Pebble) Creek Hydroelectric Facility. Each facility will divert partial flows from the river through an intake structure directly to the turbines and generating equipment located in each powerhouse. The water will then be returned to each respective river and creek. A single, 230-kV transmission line will be constructed to connect the electricity generated to the BC Hydro grid. The project will deliver electricity on the basis of a 40-year electricity purchase agreement.</p>",Published,proposed-project,,,,,,,,,,,50.29602903949096|-122.6666450500488,Dam,"Top 100 infrastructure | http://top100projects.ca/project-details/?id=172&yr=2015,",
Cordillera del CÃƒÂ_ndor,"<p><b>Company:</b>&nbsp;Dorato Peru</p><p><b>Operational Status:</b>&nbsp;concession suspended, exploration continues</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>indigenous rights, biodiversity</p><p><a href=""http://micla.ca/conflicts/cordillera-del-condor/"" target=""_blank"" rel=""nofollow"">See MICLA website</a>.</p>",Published,proposed-project,,,,,,,,,,,-3.370856476926319|-78.0908203125,Mine,"MICLA | http://micla.ca/conflicts/cordillera-del-condor/,",
Quimsacocha,"<p></p><p><b>Company:</b>&nbsp;Iamgold, INV Metals (June 2012)</p><p><b>Operational Status:</b>&nbsp;exploration</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>water, community relations</p><p><a href=""http://micla.ca/conflicts/quimsacocha/"" target=""_blank"" rel=""nofollow"">See more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,-3.118576216781991|-79.16748046875,Mine,"MICLA | http://micla.ca/conflicts/quimsacocha/,",
Curipamba Sur,"<p></p><p><b>Company:</b>&nbsp;Salazar Resources</p><p><b>Operational Status:</b>&nbsp;exploration</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>community relations, water</p><p><a href=""http://micla.ca/conflicts/curipamba-sur/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,-1.016182073033428|-79.310302734375,Mine,"MICLA | http://micla.ca/conflicts/curipamba-sur/,",
Junin,"<p><b>Company:</b>&nbsp;Ascendant Copper</p><p><b>Operational Status:</b>&nbsp;exploration</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>water, biodiversity, community relations</p><p><a href=""http://micla.ca/conflicts/junin/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,0.3350810977086186|-78.2940673828125,Mine,"MICLA | http://micla.ca/conflicts/junin/,",
Mazamorras Project,"<p><b>Company:</b>&nbsp;Gran Colombia Gold</p><p><b>Operational Status:</b>&nbsp;Exploration</p><p><b>Type of Mine:</b>&nbsp;unknown</p><p><strong>Main Issue(s):&nbsp;</strong>violence</p><p><a href=""http://micla.ca/conflicts/mazamorras-project/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,1.411600338923334|-77.1295166015625,Mine,"MICLA | http://micla.ca/conflicts/mazamorras-project/,",
Mallku Khota,"<p><b>Company:</b>&nbsp;South American Silver Corp</p><p><b>Operational Status:</b>&nbsp;Exploration &amp; Development</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>artisanal mining, water, consultation, community displacement</p><p><a href=""http://micla.ca/conflicts/mallku-khota/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,-18.08320090333431|-66.192626953125,Mine,"MICLA | http://micla.ca/conflicts/mallku-khota/,",
Amayapampa,"<p><b>Company:</b>&nbsp;Vista Gold Corp, Republic Gold Ltd</p><p><b>Operational Status:</b>&nbsp;Development</p><p><b>Type of Mine:</b>&nbsp;underground</p><p><strong>Main Issue(s):&nbsp;</strong>pollution, community relations</p><p><a href=""http://micla.ca/conflicts/amayapampa/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,-19.9526963975442|-63.78662109375,Mine,"MICLA | http://micla.ca/conflicts/amayapampa/,",
El Morro,"<p><b>Company:</b>&nbsp;70% GoldCorp 30% New Gold</p><p><b>Operational Status:</b>&nbsp;Exploration</p><p><b>Type of Mine:</b>&nbsp;Open pit, Potential for sub-ground mine</p><p><strong>Main Issue(s):&nbsp;</strong>Water rights, Community relations</p><p><a href=""http://micla.ca/conflicts/el-morro/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,-28.56522549065464|-69.927978515625,Mine,"MICLA | http://micla.ca/conflicts/el-morro/,",
Sal de Vida,"<p><b>Company:</b>&nbsp;Lithium One</p><p><b>Operational Status:</b>&nbsp;permitting, advanced development</p><p><b>Type of Mine:</b>&nbsp;strip mine</p><p><strong>Main Issue(s):&nbsp;</strong>land rights</p><p><a href=""http://micla.ca/conflicts/sal-de-vida/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,-25.23475847023373|-67.03857421875,Mine,"MICLA | http://micla.ca/conflicts/sal-de-vida/,",
San Jorge,"<p><b>Company:</b>&nbsp;Minera San Jorge S.A; Coro Mining Corp.</p><p><b>Operational Status:</b>&nbsp;Development and construction</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>biodiversity, water, permitting</p><p><a href=""http://micla.ca/conflicts/san-jorge/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,-32.57459172113417|-69.400634765625,Mine,"MICLA | http://micla.ca/conflicts/san-jorge/,",
Don Sixto,"<p><b>Company:</b>&nbsp;Exeter Resources</p><p><b>Operational Status:</b>&nbsp;exploration</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>water, public health</p><p><a href=""http://micla.ca/conflicts/don-sixto/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,-36.31512514748051|-68.466796875,Mine,"MICLA | http://micla.ca/conflicts/don-sixto/,",
Calcatreu,"<p><b>Company:</b>&nbsp;Aquiline Resources</p><p><b>Operational Status:</b>&nbsp;Development, Suspended</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>indigenous rights, land rights</p><p><a href=""http://micla.ca/conflicts/calcatreu/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,-41.59079685105601|-69.41162109375,Mine,"MICLA | http://micla.ca/conflicts/calcatreu/,",
Esquel,"<p><b>Company:</b>&nbsp;Meridian Gold, Yamana Gold</p><p><b>Operational Status:</b>&nbsp;exploration, permitting</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>water, biodiversity, permitting</p><p><a href=""http://micla.ca/conflicts/esquel/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,-42.89206418807336|-71.334228515625,Mine,"MICLA | http://micla.ca/conflicts/esquel/,",
Paso Yobai,"<p><b>Company:</b>&nbsp;Latin American Minerals</p><p><b>Operational Status:</b>&nbsp;exploration</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>mining claims</p><p><a href=""http://micla.ca/conflicts/paso-yobai/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,-25.76031975471386|-56.00830078125,Mine,"MICLA | http://micla.ca/conflicts/paso-yobai/,",
Volta Grande,"<p><b>Company:</b>&nbsp;Belo Sun (Formerly Verona Minerals Corp.)</p><p><b>Operational Status:</b>&nbsp;exploration, permitting</p><p><b>Type of Mine:</b>&nbsp;Open Pit</p><p><strong>Main Issue(s):&nbsp;</strong>water contamination, indigenous rights, community sovereignty</p><p><a href=""http://micla.ca/conflicts/volta-grande/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,-3.557282726541279|-52.03125,Mine,"MICLA | http://micla.ca/conflicts/volta-grande/,",
Las Cristinas,"<p><b>Company:</b>&nbsp;Crystallex</p><p><b>Operational Status:</b>&nbsp;advanced development</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>permitting, labour/livelihood</p><p><a href=""http://micla.ca/conflicts/las-cristinas/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,6.140554782450307|-61.424560546875,Mine,"MICLA | http://micla.ca/conflicts/las-cristinas/,",
Marmato,"<p><b>Company:</b>&nbsp;Gran Colombia Gold</p><p><b>Operational Status:</b>&nbsp;exploration</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>labour, community relations</p><p><a href=""http://micla.ca/conflicts/marmato/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,5.484768018141274|-75.5859375,Mine,"MICLA | http://micla.ca/conflicts/marmato/,",
Yarumalito,"<p><b>Company:</b>&nbsp;Colombian Gold Corporations</p><p><b>Operational Status:</b>&nbsp;exploration</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>water, biodiversity</p><p><a href=""http://micla.ca/conflicts/yarumalito/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,5.574983397934481|-75.6298828125,Mine,"MICLA | http://micla.ca/conflicts/yarumalito/,",
El Salto,"<p><b>Company:</b>&nbsp;CompaÃƒÂ±ÃƒÂ_a Minera de Caldas S.A., Colombia Goldfields Ltd.</p><p><b>Operational Status:</b>&nbsp;exploration</p><p><b>Type of Mine:</b></p><p><strong>Main Issue(s):&nbsp;</strong>labour, land rights</p><p><a href=""http://micla.ca/conflicts/el-salto/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,5.568832787195601|-75.66627502441406,Mine,"MICLA | http://micla.ca/conflicts/el-salto/,",
MandÃƒÂ© Norte/MurindÃƒÂ_,"<p><b>Company:</b>&nbsp;Sunward Resources, previously Muriel Mining Corporation</p><p><b>Operational Status:</b>&nbsp;exploration</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>indigenous rights, biodiversity, community relations</p><p><a href=""http://micla.ca/conflicts/mande-nortemurindo/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,7.01911995464383|-76.6900634765625,Mine,"MICLA | http://micla.ca/conflicts/mande-nortemurindo/,",
Cobre Panama,"<p><b>Company:</b>&nbsp;INMET</p><p><b>Operational Status:</b>&nbsp;advanced development</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>land rights, biodiversity</p><p><a href=""http://micla.ca/conflicts/cobre-panama/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,8.819938928283147|-80.672607421875,Mine,"MICLA | http://micla.ca/conflicts/cobre-panama/,",
Cerro Colorado,"<p><b>Company:</b>&nbsp;none as of 2012; in the past Rio Tinto Zinc, Canadian Javelin, Tiomin</p><p><b>Operational Status:</b>&nbsp;exploration</p><p><strong>Type of Mine:</strong>&nbsp;open pit</p><p><a href=""http://micla.ca/conflicts/cerro-colorado/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,8.510402920862324|-81.80419921875,Mine,"MICLA | http://micla.ca/conflicts/cerro-colorado/,",
El Dorado,"<p><b>Company:</b>&nbsp;Pacific Rim, Acquired by Oceana Gold (Oct., 2013)</p><p><b>Operational Status:</b>&nbsp;suspended exploration</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>water, land rights, community relations</p><p><a href=""http://micla.ca/conflicts/el-dorado/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,13.84874714753715|-88.7255859375,Mine,"MICLA | http://micla.ca/conflicts/el-dorado/,",
Escobal,"<p><strong></strong></p><p><b>Company:</b>&nbsp;Tahoe Resources Inc, GoldCorp</p><p><b>Operational Status:</b>&nbsp;exploration</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>human rights, community relations, water</p><p><a href=""http://micla.ca/conflicts/escobal/"" rel=""nofollow"" target=""_blank"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,14.47723421015652|-90.142822265625,Mine,"MICLA | http://micla.ca/conflicts/escobal/,",
Cerro Blanco,"<p><b>Company:</b>&nbsp;GoldCorp</p><p><b>Operational Status:</b>&nbsp;advanced development</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>water, community relations</p><p><a href=""http://micla.ca/conflicts/cerro-blanco/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,14.32825967774278|-89.6923828125,Mine,"MICLA | http://micla.ca/conflicts/cerro-blanco/,",
El Tambor,"<p><b>Company:</b>&nbsp;Radius Gold</p><p><b>Operational Status:</b>&nbsp;Advanced development (June 2012)</p><p><strong>Type of Mine:</strong>&nbsp;Open pit and underground</p><p><a href=""http://micla.ca/conflicts/el-tambor/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,14.82799134735208|-90.3076171875,Mine,"MICLA | http://micla.ca/conflicts/el-tambor/,",
FÃƒÂ©nix Project,"<p><b>Company:</b>&nbsp;INCO, Skye Resources, HudBay, currently Solway Group</p><p><b>Operational Status:</b>&nbsp;advanced development</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>indigenous rights, land rights, community relations</p><p><a href=""http://micla.ca/conflicts/fenix-project/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,15.53308346258447|-89.3792724609375,Mine,"MICLA | http://micla.ca/conflicts/fenix-project/,",
Motozintla,"<p><b>Company:</b>&nbsp;Brigus Gold, previously Linear Gold Corp</p><p><b>Operational Status:</b>&nbsp;exploration</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>permitting, community relations</p><p><a href=""http://micla.ca/conflicts/motozintla/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,17.65449123359241|-93.251953125,Mine,"MICLA | http://micla.ca/conflicts/motozintla/,",
Caballo Blanco,"<p><b>Company:</b>&nbsp;Gold-Group Mining Inc</p><p><b>Operational Status:</b>&nbsp;exploration</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>biodiversity, land rights, local power station</p><p><a href=""http://micla.ca/conflicts/caballo-blanco/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,19.52873013889764|-96.646728515625,Mine,"MICLA | http://micla.ca/conflicts/caballo-blanco/,",
Ixtaca,"<p><b>Company:</b>&nbsp;Almaden Minerals Ltd.</p><p><b>Operational Status:</b>&nbsp;Exploration</p><p><b>Type of Mine:</b>&nbsp;Open pit</p><p><strong>Main Issue(s):&nbsp;</strong>Land use</p><p><a href=""http://micla.ca/conflicts/ixtaca/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,19.71500024820429|-97.84423828125,Mine,"MICLA | http://micla.ca/conflicts/ixtaca/,",
Cocula,"<p><b>Company:</b>&nbsp;Teck Cominco; Timmins Gold</p><p><b>Operational Status:</b>&nbsp;exploration</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>water, pollution</p><p><a href=""http://micla.ca/conflicts/cocula/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,18.51086570909139|-99.4921875,Mine,"MICLA | http://micla.ca/conflicts/cocula/,",
Universo,"<p><b>Company:</b>&nbsp;Revolution Resources</p><p><b>Operational Status:</b>&nbsp;exploration</p><p><b>Type of Mine:</b>&nbsp;unknown</p><p><strong>Main Issue(s):&nbsp;</strong>biodiversity, land rights, human rights, community relations</p><p><a href=""http://micla.ca/conflicts/universo/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,23.46324633155035|-101.18408203125,Mine,"MICLA | http://micla.ca/conflicts/universo/,",
Paredones Amarillos,"<p><b>Company:</b>&nbsp;Vista Gold Corp</p><p><b>Operational Status:</b>&nbsp;development</p><p><b>Type of Mine:</b>&nbsp;open pit</p><p><strong>Main Issue(s):&nbsp;</strong>biodiversity</p><p><a href=""http://micla.ca/conflicts/paredones-amarillos/"" target=""_blank"" rel=""nofollow"">Read more at MICLA</a>.</p>",Published,proposed-project,,,,,,,,,,,23.66465073163161|-110.06103515625,Mine,"MICLA | http://micla.ca/conflicts/paredones-amarillos/,",
Salmon River alert,<p>Kinder Morgan took samples here in early February.</p>,Published,update,,,,,,,,,,,49.1528293138371|-122.5903630256653,,,
Burnaby Mountain protest,<p>The site of the Nov 2014 protest.</p>,Published,update,,,,,,,,,,,49.27998448471804|-122.9384708404541,,,
Mud Bay Drilling Feb 2015,"<p>Mud Bay Drilling for Kinder Morgan off of Brunette Avenue next to Highway 1.&nbsp;</p><p><a href=""https://www.facebook.com/video.php?v=10153028701210873"" rel=""nofollow"" target=""_blank"">Facebook video</a></p><p><a href=""http://www.cbc.ca/news/canada/british-columbia/kinder-morgan-protesters-briefly-block-traffic-near-highway-1-1.2970620"" rel=""nofollow"" target=""_blank"">CBC News</a>&nbsp;- <a href=""http://rabble.ca/blogs/bloggers/council-canadians/2015/02/protests-disrupt-kinder-morgan-pipeline-drilling-attempt#.VPCdQcbGMf4.facebook"" rel=""nofollow"" target=""_blank"">Rabble&nbsp;Feb 27</a>&nbsp;- <a href=""http://www.vancouverobserver.com/news/kinder-morgan-drillers-hit-protests-new-westminster"" rel=""nofollow"" target=""_blank"">Vancouver Observer</a></p>",Published,update,,,,,,,,,,,49.23375479101104|-122.8776383399963,,,
"Surveying Mar 4/5, 2015",<p>McEllhaney are here surveying for Kinder Morgan at the intersection of lougheed and gaglardi...</p>,Published,update,,,,,,,,,,,49.25270846021108|-122.9117774963379,,,
McElhanney surveying Mar 5 2015,"<p>McElhanney surveying for Kinder Morgan at Government and Horne in Burnaby this afternoon.</p><p><a href=""https://www.facebook.com/photo.php?fbid=1549506031971338&amp;set=pcb.653142798142380&amp;type=1&amp;theater"" target=""_blank"" rel=""nofollow"">Facebook gallery</a></p>",Published,update,,,,,,,,,,,49.24917183461647|-122.9076147079468,,,
Arrest March 16 2015,"<p><a href=""https://www.facebook.com/caretakersunited/posts/404928546346340"" target=""_blank"" rel=""nofollow"">Facebook post</a></p>",Published,update,,,,,,,,,,,49.25074759018555|-122.9092025756836,,,
WATCH: Possible drill site (Apr 1 2015),"<p>This is a very likely location to spot drilling.</p><p><a href=""https://www.facebook.com/caretakersunited/posts/411348769037651"" target=""_blank"" rel=""nofollow"">Caretakers Facebook post</a></p>",Published,update,,,,,,,,,,,49.23760775185602|-122.8895473480225,,,
WATCH: potential drill site (Apr 1 2015),"<p>See the <a href=""https://www.facebook.com/caretakersunited/posts/411348769037651"" target=""_blank"" rel=""nofollow"">Caretakers Facebook post</a> here.</p>",Published,update,,,,,,,,,,,49.25116778317648|-122.9118633270264,,,
"WATCH: Colony Farm access, April 19 2015","<p>Metro Vancouver is bracing for protests in regional parks such as Colony Farm and Surrey Bend after negotiating a deal with Kinder Morgan granting its crews access to plan the route of the proposed Trans Mountain oil pipeline expansion.<br><br>See&nbsp;<a href=""http://www.peacearchnews.com/news/300590201.html"" target=""_blank"" rel=""nofollow"">http://www.peacearchnews.com/news/300590201.html</a></p>",Published,update,,,,,,,,,,,49.22623014281405|-122.8117847442627,,,
WATCH: Surrey Bend Regional Park April 19 2015,"<p>Metro Vancouver is bracing for protests in regional parks such as Colony Farm and Surrey Bend after negotiating a deal with Kinder Morgan granting its crews access to plan the route of the proposed Trans Mountain oil pipeline expansion.</p><p>See&nbsp;<a href=""http://www.peacearchnews.com/news/300590201.html"" rel=""nofollow"" target=""_blank"">http://www.peacearchnews.com/news/300590201.html</a></p>",Published,update,,,,,,,,,,,49.20156031967175|-122.7470684051514,,,
